Amz11inf	Amz13chld	Amz14chld	Amz18chld	Amz1baby	Amz1teenF	Amz22chld	Amz29adlt	Amz33eld	Amz3chldM1	Amz3chldM2	Amz4adltF	Amz4chldM1	Amz4chldM2	Amz5chldF1	Amz5chldF2	Amz5chldM	Amz5teenF	Amz6eldM	Amz7adltF	Amz7eldM	AmzC10adltF1	AmzC10adltF2	AmzC12adltF	AmzC16chldM	AmzC1babyF2	AmzC2chldM1	AmzC4chldF	F3T1pre4	F4T2pre4	h130A.4	h144B.1	h146A.4	h146M	h147B.4	h147M	h165A.1	h165M.1	h181A.1	h186B.1	h186M	h18B.4	h208A.1	h208M.1	h209A.2	h235B.1	h235M	h257B.1	h257M.2	h264B.2	h264M	h273A.2	h60A.2	h9A.5	TS109	TS111	TS127	TS129	TS13	TS195	USBld1	USBldAdlt6	USBldChld10	USBldChld8	USchp18Child	USchp3Mom	USchp41Infant	USinfTw10.2	USinfTw11.2	USinfTw15.1	USinfTw16.2	USinfTw18.1	USinfTw19.1	USinfTw2.1	USinfTw21.1	USinfTw3.1	USinfTw5.1	USinfTw7.1	USinfTw9.1	USygt10.T1	USygt21.B1	USygt29.T1	USygt39.T2	USygt42.T1	USygt54.AS
Amz11inf	0	0.655201003	0.589531862	0.760986726	0.814362784	0.726024223	0.766398093	0.809840533	0.815736822	0.805841584	0.775710648	0.786944005	0.708398366	0.763795385	0.764233602	0.765381549	0.743826821	0.796512829	0.786809173	0.820256277	0.748931552	0.764701432	0.743659141	0.81013485	0.767655615	0.723525698	0.774117244	0.713291541	0.848167097	0.887642215	0.815605051	0.905061796	0.785676029	0.796221463	0.77094529	0.700415476	0.756137497	0.792867729	0.834432024	0.754486777	0.79245593	0.739590309	0.939688355	0.771230782	0.809380139	0.762849687	0.788039205	0.850557963	0.791802369	0.602344755	0.805365672	0.640318956	0.803749611	0.737060221	0.82265526	0.842308409	0.830757983	0.842525628	0.817751188	0.827494775	0.765285936	0.859856303	0.882863061	0.858933921	0.730749506	0.813969439	0.802733329	0.906457671	0.861823754	0.862143708	0.808490595	0.783080448	0.832181671	0.930386485	0.818855641	0.818900325	0.814900658	0.909445044	0.831975399	0.792275171	0.837404066	0.857105153	0.829604626	0.847931105	0.849180535
Amz13chld	0.655201003	0	0.60815749	0.736853944	0.771543663	0.719261476	0.736725979	0.760562931	0.778285611	0.783944303	0.749795623	0.742221401	0.679326145	0.715277161	0.797037481	0.734366576	0.732283909	0.745658491	0.762711347	0.797517933	0.743216149	0.72955492	0.745815163	0.785942823	0.756977932	0.752969526	0.703699948	0.686114896	0.822816086	0.86575328	0.763138722	0.833632292	0.781908656	0.817047322	0.728852997	0.769602357	0.642971016	0.772603418	0.753215962	0.754272078	0.80835521	0.688756215	0.836378025	0.814582874	0.737636867	0.722960174	0.809540715	0.791311847	0.760060568	0.634491732	0.794831483	0.700122038	0.777443057	0.697798421	0.785800516	0.788352986	0.773685643	0.778694068	0.770285768	0.816335733	0.723011516	0.795443951	0.865106013	0.811285034	0.723997525	0.788396824	0.769015294	0.855417836	0.841103923	0.84058836	0.781441329	0.797166301	0.748677535	0.897365119	0.803013629	0.776706098	0.786106571	0.85416383	0.833095033	0.76373081	0.794152729	0.791934788	0.78613396	0.785796889	0.78293003
Amz14chld	0.589531862	0.60815749	0	0.677038627	0.860140187	0.706817274	0.708387204	0.728772031	0.778394339	0.749562024	0.720649869	0.750961736	0.67916674	0.712346164	0.745252363	0.693572586	0.709478878	0.71316782	0.732114339	0.785890112	0.747806729	0.710811828	0.738646773	0.759146111	0.7373602	0.77888973	0.739493697	0.599657971	0.81362542	0.866121442	0.76337046	0.90391517	0.775750596	0.77689537	0.749688124	0.712034409	0.732071284	0.760355449	0.874236196	0.714609982	0.773644193	0.664584812	0.931962427	0.767613404	0.834535476	0.816648561	0.765048574	0.879398275	0.7529178	0.549696251	0.782426811	0.603836805	0.727155644	0.718094811	0.78931611	0.765840263	0.791231428	0.759030514	0.76057001	0.806943565	0.72404579	0.795439296	0.889427204	0.824651782	0.71262569	0.782289179	0.766390073	0.907612646	0.86652452	0.870076276	0.749033864	0.81362051	0.853154471	0.935321731	0.866512457	0.855698473	0.855212666	0.894591023	0.849042539	0.785217304	0.800464925	0.775713208	0.813295794	0.790332458	0.817107738
Amz18chld	0.760986726	0.736853944	0.677038627	0	0.916224968	0.434146387	0.519899543	0.519470635	0.735759041	0.542112544	0.43084113	0.680554675	0.465503209	0.449424286	0.449907109	0.422829233	0.520443036	0.457708556	0.564619722	0.700418301	0.543983153	0.489663918	0.553199126	0.499760006	0.503302058	0.896490371	0.614303356	0.623205868	0.75742765	0.865035485	0.538127868	0.902213935	0.525545539	0.569380622	0.618689315	0.528837726	0.839237868	0.581730227	0.935907414	0.547362181	0.568692846	0.680191941	0.941547822	0.550182003	0.886094847	0.908962559	0.571698995	0.93174857	0.647628802	0.747015606	0.594778397	0.684021047	0.51593504	0.747985647	0.721985325	0.705622843	0.732754242	0.69401831	0.694022408	0.767971013	0.792740167	0.759476029	0.90215665	0.817954754	0.720094145	0.757409236	0.83813283	0.921046478	0.875302086	0.938490336	0.848756482	0.91496399	0.908163443	0.949873288	0.936255991	0.931029799	0.938193205	0.929656616	0.937629561	0.730040779	0.826155252	0.69738468	0.715842825	0.780580723	0.851797511
Amz1baby	0.814362784	0.771543663	0.860140187	0.916224968	0	0.870031153	0.9254153	0.872830632	0.937145664	0.873504257	0.919734852	0.863692257	0.902542413	0.907544642	0.932435994	0.915510545	0.924172777	0.926304298	0.936856762	0.940293152	0.907006428	0.913744996	0.927870826	0.945937151	0.9106185	0.741979778	0.903157277	0.904632708	0.956758678	0.951801886	0.935546125	0.758453478	0.926831096	0.944085321	0.939743105	0.88219038	0.78223228	0.933130104	0.692595625	0.906728345	0.936881156	0.834638889	0.707614803	0.943393614	0.665902404	0.655879363	0.944279001	0.75254025	0.917834891	0.820450776	0.936733142	0.819565391	0.923469915	0.770530294	0.947424985	0.951510621	0.946761777	0.934273763	0.94621762	0.956149489	0.858342143	0.949592934	0.881554772	0.940785531	0.903072406	0.942752087	0.862944873	0.842257931	0.828926244	0.850966976	0.872135198	0.839531661	0.66459486	0.833499802	0.604809554	0.749384949	0.773973998	0.922788226	0.806727829	0.934101298	0.905355395	0.922129486	0.948966995	0.939389846	0.921906199
Amz1teenF	0.726024223	0.719261476	0.706817274	0.434146387	0.870031153	0	0.539457666	0.489184574	0.685803126	0.503298925	0.417873549	0.563679955	0.519719052	0.449511111	0.472497065	0.47617577	0.478487465	0.450076371	0.484982717	0.640221059	0.505980437	0.48909115	0.51229735	0.514251088	0.504977103	0.873225992	0.578663118	0.658572541	0.775318681	0.86163646	0.609248909	0.865023792	0.522979121	0.511885166	0.572080476	0.475050986	0.820771163	0.578317408	0.90332585	0.527682929	0.52009823	0.646967728	0.907348013	0.507404185	0.853903155	0.867194806	0.525333749	0.919440832	0.672060049	0.756137912	0.530036316	0.670666741	0.599201935	0.687044879	0.755873309	0.734061995	0.725578992	0.740080369	0.737758131	0.820460014	0.803363254	0.787535699	0.896589561	0.836622749	0.741648978	0.750806253	0.844456922	0.891980569	0.889314007	0.92557356	0.851071142	0.908944284	0.87019401	0.939431464	0.898799611	0.898356833	0.90917458	0.916904466	0.906238062	0.736078744	0.828540139	0.738720576	0.717789703	0.776792154	0.850381772
Amz22chld	0.766398093	0.736725979	0.708387204	0.519899543	0.9254153	0.539457666	0	0.531935781	0.658203212	0.56505766	0.486049566	0.648714735	0.522769134	0.522559119	0.572368477	0.504714649	0.501991862	0.515540676	0.555950893	0.631557547	0.560735703	0.517372375	0.532713164	0.52120939	0.605734002	0.902511484	0.56659381	0.6627279	0.722531026	0.845629841	0.560305974	0.888588368	0.56455601	0.578740063	0.527657961	0.580915378	0.853272255	0.532384062	0.937616419	0.586507367	0.545178448	0.724992995	0.920782081	0.544897794	0.892513773	0.914085577	0.571478915	0.941200541	0.59975968	0.765232821	0.550165353	0.76523299	0.598173952	0.784462409	0.695269948	0.684588047	0.663253124	0.662672721	0.6745584	0.76430641	0.795682593	0.742847118	0.912994676	0.80622536	0.725387036	0.720247126	0.854684813	0.924579217	0.886551013	0.933238374	0.847908347	0.907325068	0.910406723	0.941586585	0.943402186	0.928909347	0.940898422	0.898815504	0.936852786	0.693276459	0.818288143	0.705543672	0.651936499	0.754953721	0.834784249
Amz29adlt	0.809840533	0.760562931	0.728772031	0.519470635	0.872830632	0.489184574	0.531935781	0	0.668784084	0.176259346	0.479901974	0.596884658	0.543459597	0.488982584	0.549090616	0.496795858	0.557920859	0.45545566	0.529064806	0.611389122	0.565776235	0.550413152	0.534512057	0.493339495	0.579536028	0.90584335	0.514295625	0.675317162	0.768351225	0.871728784	0.581810904	0.849156909	0.593336805	0.559668895	0.60074581	0.617285181	0.865838437	0.600869602	0.92942888	0.632032961	0.562005062	0.736939389	0.879454288	0.561411297	0.878648393	0.902531634	0.569890832	0.947339908	0.669832655	0.820017574	0.570269155	0.765494444	0.619331574	0.7380502	0.752426775	0.722271351	0.709492329	0.735344967	0.710413029	0.797058555	0.829548672	0.760497202	0.931939491	0.84380948	0.773338471	0.741195343	0.879770833	0.914347837	0.910365051	0.946188587	0.889363951	0.930557647	0.907156395	0.955845432	0.907112727	0.927899246	0.941384999	0.915620337	0.935102299	0.733535118	0.854269325	0.759419762	0.710650431	0.767842953	0.870802453
Amz33eld	0.815736822	0.778285611	0.778394339	0.735759041	0.937145664	0.685803126	0.658203212	0.668784084	0	0.674988213	0.656896705	0.554629516	0.695760893	0.696506202	0.738329101	0.661990553	0.638049624	0.662385836	0.591117681	0.511715605	0.646716681	0.673490099	0.627889689	0.692766907	0.725556283	0.904389188	0.638155213	0.781597904	0.745799782	0.858099614	0.695783427	0.892707533	0.678475475	0.643361177	0.598977853	0.688463571	0.891990207	0.6766923	0.96451584	0.73437744	0.618261347	0.819221196	0.937794352	0.629225236	0.916295537	0.938952432	0.6173493	0.963353191	0.738499724	0.824042482	0.602018667	0.836434485	0.746902506	0.856077887	0.788651885	0.70326703	0.658504947	0.749431395	0.739728058	0.825640224	0.849636364	0.79720804	0.926332714	0.833778234	0.810807265	0.715096244	0.883656072	0.905156322	0.90317592	0.923085715	0.888456263	0.904873087	0.906180546	0.952085929	0.952340582	0.916555138	0.943420338	0.896550352	0.92954	0.710717719	0.859957837	0.791236695	0.735598875	0.752259031	0.817336693
Amz3chldM1	0.805841584	0.783944303	0.749562024	0.542112544	0.873504257	0.503298925	0.56505766	0.176259346	0.674988213	0	0.51901291	0.606818144	0.559685913	0.498262896	0.52395557	0.513091447	0.57217031	0.478827736	0.519156223	0.607159054	0.560710029	0.556346597	0.530789864	0.478788328	0.581299049	0.91013525	0.520397555	0.700380159	0.77565416	0.880399755	0.594986762	0.8494507	0.573487951	0.537982811	0.607564481	0.598154727	0.877241529	0.594769409	0.930276427	0.629443007	0.534037697	0.741641853	0.880606961	0.548275573	0.880045704	0.901709133	0.551081553	0.94837228	0.685564496	0.832103165	0.5854104	0.756522901	0.617485705	0.738006699	0.764744344	0.74885188	0.722455697	0.767346438	0.72806339	0.824088163	0.838722542	0.802389378	0.934843512	0.858595398	0.789981928	0.741647129	0.88491886	0.922500192	0.919659638	0.945456867	0.901226432	0.940868138	0.907947168	0.958636481	0.90828945	0.929110144	0.943495795	0.929541848	0.936376491	0.735012282	0.859707165	0.783297523	0.716089324	0.792702977	0.885131116
